session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,36,54484,3
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,36,1987,3
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,8,475,2
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,9,13194,1
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,1,63,1
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,1,71,1
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,1,63,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,1,63,1
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,1,63,1
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,1,63,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,47,72118,5
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,36,2185,5
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,48,75012,5
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,37,2315,5
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,82,115644,5
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,60,3884,5
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,17,26478,5
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,14,839,5
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,50,75120,4
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,50,2769,4
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,11,637,3
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,12,17592,2
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,2,126,2
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,2,142,2
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,126,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,2,126,2
74.108.225.98:None->192.168.1.38:None-6,74.108.225.98,192.168.1.38,,,6,1,54,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,48,72185,6
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,36,2185,5
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
192.168.1.38:None->36.236.64.74:None-6,192.168.1.38,36.236.64.74,,,6,2,340,1
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,48,75012,5
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,37,2315,5
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,92,128702,6
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,68,4414,6
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,17,26478,5
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,14,839,5
20.42.65.90:None->192.168.1.38:None-6,20.42.65.90,192.168.1.38,,,6,1,62,1
192.168.1.38:None->20.42.65.90:None-6,192.168.1.38,20.42.65.90,,,6,2,625,1
