timestamp,src_ip,dst_ip,protocol,severity,confidence,attack_type,reason
16:38:05,192.168.1.38,67.174.154.26,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,217.79.74.139,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,91.170.48.164,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,91.170.48.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,217.42.82.216,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,92.247.174.151,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,92.247.174.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,81.84.97.11,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,81.84.97.11,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,217.42.82.216,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,104.208.16.90,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,9.9.9.9,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,89.181.158.238,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,83.219.212.56,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,104.208.16.90,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,71.183.90.8,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,178.162.173.134,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,83.219.212.56,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,174.95.50.173,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,77.91.229.218,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,184.160.237.73,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,89.181.158.238,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,192.168.1.38,140.82.113.25,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:05,82.154.111.172,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,67.174.154.26,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,192.168.1.38,67.174.154.26,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,217.79.74.139,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,91.170.48.164,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,192.168.1.38,91.170.48.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,217.42.82.216,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,92.247.174.151,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:11,192.168.1.38,92.247.174.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
