src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count
89.181.158.238,192.168.1.38,,,6,17,26478
192.168.1.38,89.181.158.238,,,6,8,466
71.183.90.8,192.168.1.38,,,6,5,28670
192.168.1.38,71.183.90.8,,,6,6,358
192.168.1.38,217.42.82.216,,,17,4,265
92.247.174.151,192.168.1.38,,,6,7,14578
192.168.1.38,92.247.174.151,,,6,7,412
89.181.158.238,192.168.1.38,,,6,18,29372
192.168.1.38,89.181.158.238,,,6,18,1023
217.42.82.216,192.168.1.38,,,17,15,17514
192.168.1.38,217.42.82.216,,,17,7,451
104.16.103.112,192.168.1.38,,,6,1,54
92.247.174.151,192.168.1.38,,,6,4,5896
192.168.1.38,92.247.174.151,,,6,4,274
67.174.154.26,192.168.1.38,,,6,7,10318
192.168.1.38,67.174.154.26,,,6,5,287
81.84.97.11,192.168.1.38,,,6,3,4422
192.168.1.38,81.84.97.11,,,6,2,108
71.183.90.8,192.168.1.38,,,6,7,15327
192.168.1.38,71.183.90.8,,,6,6,444
192.168.1.38,184.160.237.73,,,6,1,63
192.168.1.38,174.95.50.173,,,6,1,60
192.168.1.38,117.248.49.152,,,17,1,62
89.181.158.238,192.168.1.38,,,6,4,7316
192.168.1.38,89.181.158.238,,,6,4,216
81.84.97.11,192.168.1.38,,,6,2,4368
71.183.90.8,192.168.1.38,,,6,1,54
92.247.174.151,192.168.1.38,,,6,27,46898
192.168.1.38,81.84.97.11,,,6,2,132
192.168.1.38,92.247.174.151,,,6,26,1455
217.42.82.216,192.168.1.38,,,17,15,18896
67.174.154.26,192.168.1.38,,,6,6,8844
217.79.74.139,192.168.1.38,,,17,1,62
192.168.1.38,67.174.154.26,,,6,6,324
192.168.1.38,217.42.82.216,,,17,6,398
92.247.174.151,192.168.1.38,,,6,15,22110
192.168.1.38,92.247.174.151,,,6,15,810
217.42.82.216,192.168.1.38,,,17,24,34656
192.168.1.38,217.42.82.216,,,17,11,1163
184.160.237.73,192.168.1.38,,,6,1,54
81.84.97.11,192.168.1.38,,,6,4,5896
192.168.1.38,81.84.97.11,,,6,4,296
192.168.1.38,184.160.237.73,,,6,1,97
174.95.50.173,192.168.1.38,,,6,2,120
71.183.90.8,192.168.1.38,,,6,1,1474
192.168.1.38,71.183.90.8,,,6,1,54
192.168.1.38,174.95.50.173,,,6,1,63
89.181.158.238,192.168.1.38,,,6,10,20420
192.168.1.38,89.181.158.238,,,6,10,608
67.174.154.26,192.168.1.38,,,6,8,16065
192.168.1.38,67.174.154.26,,,6,4,216
83.219.212.56,192.168.1.38,,,6,1,54
217.42.82.216,192.168.1.38,,,17,3,186
192.168.1.38,217.42.82.216,,,17,1,79
92.247.174.151,192.168.1.38,,,6,26,46844
192.168.1.38,92.247.174.151,,,6,18,989
71.183.90.8,192.168.1.38,,,6,1,54
192.168.1.38,71.183.90.8,,,6,1,80
81.84.97.11,192.168.1.38,,,6,6,15944
192.168.1.38,81.84.97.11,,,6,5,270
89.181.158.238,192.168.1.38,,,6,12,29048
192.168.1.38,89.181.158.238,,,6,8,483
178.162.173.134,192.168.1.38,,,6,1,54
192.168.1.38,35.186.224.24,,,6,1,55
188.51.226.235,192.168.1.38,,,6,1,54
35.186.224.24,192.168.1.38,,,6,1,66
184.160.237.73,192.168.1.38,,,6,1,54
174.95.50.173,192.168.1.38,,,6,1,54
192.168.1.38,81.84.97.11,,,6,5,279
81.84.97.11,192.168.1.38,,,6,6,10264
80.98.252.57,192.168.1.38,,,17,33,18427
192.168.1.38,80.98.252.57,,,17,6,381
82.154.111.172,192.168.1.38,,,6,1,54
92.247.174.151,192.168.1.38,,,6,9,16883
192.168.1.38,92.247.174.151,,,6,7,395
67.174.154.26,192.168.1.38,,,6,1,818
192.168.1.38,67.174.154.26,,,6,1,71
192.168.1.38,217.79.74.139,,,17,1,71
192.168.1.38,178.162.173.134,,,6,1,63
192.168.1.38,217.42.82.216,,,17,1,71
192.168.1.38,188.51.226.235,,,6,1,63
192.168.1.38,91.170.48.164,,,6,1,63
192.168.1.38,83.219.212.56,,,6,1,63
192.168.1.38,184.160.237.73,,,6,1,63
